DrugBank ID,Name,Drug group,Pharmacological action?,Actions,Accession,Details,PUBCHEM ID
DB07607,4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE,experimental,unknown,,Q16539,Details,9543437
DB07811,"N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide",experimental,unknown,,Q16539,Details,10089048
DB07829,4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,experimental,unknown,,Q16539,Details,12106168
DB07832,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",experimental,unknown,,Q16539,Details,23644582
DB07833,"N-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide",experimental,unknown,,Q16539,Details,10200651
DB07834,"N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",experimental,unknown,,Q16539,Details,21078798
DB07835,"N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",experimental,unknown,,Q16539,Details,24856363
DB07941,PH-797804,investigational,unknown,,Q16539,Details,22049997
DB07942,2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine,experimental,unknown,,Q16539,Details,42647299
DB07943,SD-0006,investigational,unknown,,Q16539,Details,9865587
DB08064,N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA,experimental,unknown,,Q16539,Details,5326866
DB08068,N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO-,experimental,unknown,,Q16539,Details,46937120
DB08091,3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE,experimental,unknown,,Q16539,Details,5326868
DB08092,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide,experimental,unknown,,Q16539,Details,5326870
DB08093,3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE,experimental,unknown,,Q16539,Details,5326871
DB08095,"3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA",experimental,unknown,,Q16539,Details,6540299
DB08096,"8-(2-CHLOROPHENYLAMINO)-2-(2,6-DIFLUOROPHENYLAMINO)-9-ETHYL-9H-PURINE-1,7-DIIUM",experimental,unknown,,Q16539,Details,6852209
DB08097,"2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE",experimental,unknown,,Q16539,Details,9543517
DB08242,"N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",experimental,unknown,,Q16539,Details,23400214
DB08349,"N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",experimental,unknown,,Q16539,Details,42647297
DB08351,N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,experimental,unknown,,Q16539,Details,24963046
DB08352,"6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine",experimental,unknown,,Q16539,Details,24755476
DB08395,2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE,experimental,unknown,,Q16539,Details,4369443
DB08423,[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE,experimental,unknown,,Q16539,Details,5327066
DB08424,"[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE",experimental,unknown,,Q16539,Details,5327067
DB08521,4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine,experimental,unknown,,Q16539,Details,40467016
DB03980,4-(Fluorophenyl)-1-Cyclopropylmethyl-5-(2-Amino-4-Pyrimidinyl)Imidazole,experimental,unknown,,Q16539,Details,5172
DB08522,4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE,experimental,unknown,,Q16539,Details,5171
DB08730,3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE,experimental,unknown,,Q16539,Details,5326869
DB01254,Dasatinib,"approved, investigational",unknown,,Q16539,Details,3062316
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,Q16539,Details,11671467
DB06518,R-1487,investigational,unknown,,Q16539,Details,11406590
DB01041,Thalidomide,"approved, investigational, withdrawn",yes,antagonist,P19838,Details,5426
DB01411,Pranlukast,investigational,unknown,other/unknown,P19838,Details,4887
DB05212,HE3286,investigational,unknown,,P19838,Details,16739648
DB05767,Andrographolide,investigational,unknown,,P19838,Details,5318517
DB05487,Custirsen,investigational,unknown,,P19838,Details,72941942
DB08814,Triflusal,"approved, investigational",yes,antagonist,P19838,Details,9458
DB00852,Pseudoephedrine,approved,unknown,inhibitor,P19838,Details,7028
DB00795,Sulfasalazine,approved,unknown,inhibitor,O15111,Details,5339
DB00244,Mesalazine,approved,unknown,inhibitor,O15111,Details,4075
DB00233,Aminosalicylic acid,approved,unknown,inhibitor,O15111,Details,4649
DB06151,Acetylcysteine,"approved, investigational",unknown,inhibitor,O15111,Details,12035
DB00786,Marimastat,investigational,yes,inhibitor,P03956,Details,119031
DB07556,CGS-27023,experimental,unknown,,P03956,Details,446504
DB07926,N-[3-(N'-HYDROXYCARBOXAMIDO)-2-(2-METHYLPROPYL)-PROPANOYL]-O-TYROSINE-N-METHYLAMIDE,experimental,unknown,,P03956,Details,128564
DB08403,METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID,experimental,unknown,,P03956,Details,194777
DB08482,[[1-[N-HYDROXY-ACETAMIDYL]-3-METHYL-BUTYL]-CARBONYL-LEUCINYL]-ALANINE ETHYL ESTER,experimental,unknown,,P03956,Details,5487313
DB08491,N-HYDROXY-2-[4-(4-PHENOXY-BENZENESULFONYL)-TETRAHYDRO-PYRAN-4-YL]-ACETAMIDE,experimental,unknown,,P03956,Details,4369
DB00144,Phosphatidyl serine,"investigational, nutraceutical",unknown,,P17252,Details,6323481
DB00163,Vitamin E,"approved, nutraceutical, vet_approved",unknown,,P17252,Details,14985
DB05013,Ingenol mebutate,approved,unknown,ligand,P17252,Details,6918670
DB06451,Aprinocarsen,investigational,unknown,,P17252,Details,145994601
DB06595,Midostaurin,"approved, investigational",yes,antagonistinhibitor,P17252,Details,9829523
DB06641,Perifosine,investigational,unknown,,P17252,Details,148177
DB08846,Ellagic acid,investigational,unknown,inhibitor,P17252,Details,5281855
DB14001,alpha-Tocopherol succinate,"approved, nutraceutical, vet_approved",unknown,,P17252,Details,20353
DB14002,D-alpha-Tocopherol acetate,"approved, nutraceutical, vet_approved",unknown,,P17252,Details,86472
DB00675,Tamoxifen,approved,yes,inhibitor,P05129,Details,2733526
DB09096,Benzoyl peroxide,approved,unknown,inhibitor,P05129,Details,7187
DB00852,Pseudoephedrine,approved,unknown,inhibitor,P01100,Details,7028
DB01017,Minocycline,"approved, investigational",unknown,inhibitor,P45983,Details,54675783
DB05983,Bardoxolone methyl,investigational,unknown,,P25963,Details,400769
DB06543,Astaxanthin,investigational,unknown,,P25963,Details,5281224
DB00945,Acetylsalicylic acid,"approved, vet_approved",unknown,inhibitor,P25963,Details,2244
DB01017,Minocycline,"approved, investigational",unknown,negative modulator,P29466,Details,54675783
DB04875,Pralnacasan,investigational,unknown,,P29466,Details,153270
DB05408,Emricasan,investigational,unknown,,P29466,Details,12000240
DB07733,"1-METHYL-3-TRIFLUOROMETHYL-1H-THIENO[2,3-C]PYRAZOLE-5-CARBOXYLIC ACID (2-MERCAPTO-ETHYL)-AMIDE",experimental,unknown,,P29466,Details,6852193
DB07744,Z-Val-Ala-Asp fluoromethyl ketone,experimental,unknown,,P29466,Details,5497171
DB07916,3-{6-[(8-HYDROXY-QUINOLINE-2-CARBONYL)-AMINO]-2-THIOPHEN-2-YL-HEXANOYLAMINO}-4-OXO-BUTYRI ACID,experimental,unknown,,P29466,Details,5288581
DB00945,Acetylsalicylic acid,"approved, vet_approved",unknown,inhibitordownregulator,P29466,Details,2244
DB00177,Valsartan,"approved, investigational",yes,antagonist,P30556,Details,60846
DB00275,Olmesartan,"approved, investigational",yes,antagonist,P30556,Details,158781
DB00678,Losartan,approved,yes,antagonist,P30556,Details,3961
DB00796,Candesartan cilexetil,approved,yes,antagonist,P30556,Details,2540
DB00876,Eprosartan,approved,yes,antagonist,P30556,Details,5281037
DB00966,Telmisartan,"approved, investigational",yes,antagonist,P30556,Details,65999
DB01029,Irbesartan,"approved, investigational",yes,antagonist,P30556,Details,3749
DB01342,Forasartan,experimental,yes,antagonist,P30556,Details,132706
DB01347,Saprisartan,experimental,yes,antagonist,P30556,Details,60921
DB01349,Tasosartan,experimental,yes,antagonist,P30556,Details,60919
DB08822,Azilsartan medoxomil,"approved, investigational",yes,antagonist,P30556,Details,135409642
DB09279,Fimasartan,investigational,yes,antagonist,P30556,Details,9870652
DB13919,Candesartan,experimental,yes,antagonist,P30556,Details,2541
DB11842,Angiotensin II,"approved, investigational",yes,agonist,P30556,Details,172198
DB02010,Staurosporine,experimental,unknown,,P43405,Details,44259
DB06834,"N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide",experimental,unknown,,P43405,Details,9968957
DB07159,Tamatinib,"experimental, investigational",unknown,,P43405,Details,11213558
DB07194,"2-{2-[(3,5-dimethylphenyl)amino]pyrimidin-4-yl}-N-[(1S)-2-hydroxy-1-methylethyl]-4-methyl-1,3-thiazole-5-carboxamide",experimental,unknown,,P43405,Details,25113172
DB08361,"2-{[(1R,2S)-2-aminocyclohexyl]amino}-4-[(3-methylphenyl)amino]pyrimidine-5-carboxamide",experimental,unknown,,P43405,Details,11493841
DB08846,Ellagic acid,investigational,unknown,inhibitor,P43405,Details,5281855
DB12010,Fostamatinib,"approved, investigational",yes,inhibitor,P43405,Details,11671467
DB06486,Enzastaurin,investigational,unknown,,P27986,Details,176167
DB08059,Wortmannin,experimental,unknown,,P27986,Details,312145
DB14059,SC-236,"experimental, investigational",yes,inhibitor,Q04206,Details,9865808
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P51617,Details,11671467
DB00201,Caffeine,approved,unknown,inhibitor,P42338,Details,2519
DB02482,Phosphonothreonine,experimental,unknown,,P53778,Details,10976469
DB04395,Phosphoaminophosphonic Acid-Adenylate Ester,experimental,unknown,,P53778,Details,44462678
DB05403,CEP-1347,investigational,unknown,,P53778,Details,133005
DB15624,Halicin,experimental,unknown,inhibitor,P45984,Details,11837140
DB07374,Anisomycin,experimental,unknown,,P62913,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P62913,Details,444718
DB08437,Puromycin,experimental,unknown,,P62913,Details,439530
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P39019,Details,6918483
DB01915,S-Hydroxycysteine,experimental,unknown,,P01024,Details,165339
DB09130,Copper,"approved, investigational",unknown,,P01024,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P01024,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P01024,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,inhibitorligand,P01024,Details,3007855
DB08590,1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,experimental,unknown,,Q9NWZ3,Details,11987888
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,Q9NWZ3,Details,11671467
DB01017,Minocycline,"approved, investigational",unknown,inhibitor,Q15759,Details,54675783
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,O15264,Details,11671467
DB04998,AGRO100,investigational,unknown,,Q9Y6K9,Details,145994598
DB05289,Tarenflurbil,investigational,unknown,,Q9Y6K9,Details,92337
DB00675,Tamoxifen,approved,yes,inhibitor,P05771,Details,2733526
DB09096,Benzoyl peroxide,approved,unknown,inhibitor,P05771,Details,7187
DB12831,Gabexate,investigational,no,inhibitor,P00736,Details,3447
DB01593,Zinc,"approved, investigational",unknown,,P00736,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P00736,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,modulator,P00736,Details,3007855
DB04527,beta-Hydroxyasparagine,experimental,unknown,,O00187,Details,15991574
DB00364,Sucralfate,approved,unknown,binderprotector,P02675,Details,121494085
DB02340,N-Acetyl-Serine,experimental,unknown,,P00488,Details,65249
DB00130,L-Glutamine,"approved, investigational, nutraceutical",unknown,substrate,P00488,Details,5961
DB00514,Dextromethorphan,approved,unknown,inhibitor,P04839,Details,5360696
DB02371,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",experimental,unknown,,P09871,Details,81831
DB12831,Gabexate,investigational,no,inhibitor,P09871,Details,3447
DB09130,Copper,"approved, investigational",unknown,,P09871,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P09871,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P09871,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,modulator,P09871,Details,3007855
DB02459,4-guanidinobenzoic acid,experimental,unknown,,P00751,Details,159772
DB04491,Diisopropylphosphono Group,experimental,unknown,,P00751,Details,6327350
DB01593,Zinc,"approved, investigational",unknown,,P00751,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P00751,Details,11192
DB03721,N-acetyl-alpha-neuraminic acid,experimental,unknown,,P16109,Details,444885
DB01593,Zinc,"approved, investigational",unknown,,P02746,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P02746,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,modulator,P02746,Details,3007855
DB09130,Copper,"approved, investigational",unknown,,P02747,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P02747,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P02747,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,modulator,P02747,Details,3007855
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P27635,Details,6918483
DB07374,Anisomycin,experimental,unknown,,P61313,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P61313,Details,444718
DB08437,Puromycin,experimental,unknown,,P61313,Details,439530
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P42766,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,Q07020,Details,6918483
DB00631,Clofarabine,"approved, investigational",yes,inhibitor,P18077,Details,119182
DB01073,Fludarabine,approved,yes,inhibitor,P18077,Details,657237
DB00242,Cladribine,"approved, investigational",yes,inhibitor,P18077,Details,20279
DB01280,Nelarabine,"approved, investigational",unknown,inhibitor,P18077,Details,3011155
DB09130,Copper,"approved, investigational",unknown,,P07358,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P07358,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P07358,Details,11192
DB02763,5-Mercapto-2-Nitro-Benzoic Acid,experimental,unknown,,P29460,Details,123648
DB06083,Tapinarof,investigational,unknown,,P29460,Details,6439522
DB09130,Copper,"approved, investigational",unknown,,P0C0L5,Details,23978
DB01593,Zinc,"approved, investigational",unknown,,P0C0L5,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P0C0L5,Details,11192
DB14533,Zinc chloride,"approved, investigational",unknown,modulator,P0C0L5,Details,3007855
DB09130,Copper,"approved, investigational",unknown,,P02748,Details,23978
DB09130,Copper,"approved, investigational",unknown,,P15880,Details,23978
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P62753,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P36578,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P46781,Details,6918483
DB07374,Anisomycin,experimental,unknown,,P40429,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P40429,Details,444718
DB08437,Puromycin,experimental,unknown,,P40429,Details,439530
DB07374,Anisomycin,experimental,unknown,,P84098,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P84098,Details,444718
DB08437,Puromycin,experimental,unknown,,P84098,Details,439530
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P62277,Details,6918483
DB01992,Coenzyme A,"investigational, nutraceutical",unknown,,P30050,Details,87642
DB08186,(3E)-4-(1-METHYL-1H-INDOL-3-YL)BUT-3-EN-2-ONE,experimental,unknown,,P30050,Details,736407
DB08291,N-(3-AMINOPROPYL)-2-NITROBENZENAMINE,experimental,unknown,,P30050,Details,3581192
DB01593,Zinc,"approved, investigational",unknown,,P07357,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P07357,Details,11192
DB07374,Anisomycin,experimental,unknown,,P62750,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P62750,Details,444718
DB08437,Puromycin,experimental,unknown,,P62750,Details,439530
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P62750,Details,6918483
DB07374,Anisomycin,experimental,unknown,,P39023,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P39023,Details,444718
DB08437,Puromycin,experimental,unknown,,P39023,Details,439530
DB04865,Omacetaxine mepesuccinate,"approved, investigational",yes,antagonist,P39023,Details,285033
DB09092,Xanthinol,"approved, withdrawn",no,binder,P39023,Details,9913
DB07374,Anisomycin,experimental,unknown,,P62917,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P62917,Details,444718
DB08437,Puromycin,experimental,unknown,,P62917,Details,439530
DB04272,Citric acid,"approved, nutraceutical, vet_approved",unknown,,P07360,Details,311
DB03017,Lauric acid,"approved, experimental",unknown,,P07360,Details,3893
DB01593,Zinc,"approved, investigational",unknown,,P07360,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P07360,Details,11192
DB01593,Zinc,"approved, investigational",unknown,,P05160,Details,23994
DB14487,Zinc acetate,"approved, investigational",unknown,,P05160,Details,11192
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P50914,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P62857,Details,6918483
DB11638,Artenimol,"approved, experimental, investigational",unknown,ligand,P62241,Details,6918483
DB07374,Anisomycin,experimental,unknown,,P62829,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P62829,Details,444718
DB08437,Puromycin,experimental,unknown,,P62829,Details,439530
DB04602,PUROMYCIN AMINONUCLEOSIDE-5'-MONOPHOSPHATE,experimental,unknown,,P61927,Details,451597
DB04805,Virginiamycin S1,experimental,unknown,,P61927,Details,5388936
DB07374,Anisomycin,experimental,unknown,,P61927,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,P61927,Details,444718
DB08437,Puromycin,experimental,unknown,,P61927,Details,439530
DB07374,Anisomycin,experimental,unknown,,Q9UNX3,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,Q9UNX3,Details,444718
DB08437,Puromycin,experimental,unknown,,Q9UNX3,Details,439530
DB07374,Anisomycin,experimental,unknown,,Q96L21,Details,253602
DB02494,(S)-3-phenyllactic acid,experimental,unknown,,Q96L21,Details,444718
DB08437,Puromycin,experimental,unknown,,Q96L21,Details,439530
DB04974,Rimiducid,investigational,unknown,ligand,P42345,Details,16135625
DB01590,Everolimus,approved,yes,inhibitor,P42345,Details,6442177
DB06233,Ridaforolimus,investigational,unknown,,P42345,Details,11520894
DB06287,Temsirolimus,approved,yes,inhibitor,P42345,Details,23724530
DB00877,Sirolimus,"approved, investigational",yes,inhibitor,P42345,Details,5284616
DB00337,Pimecrolimus,"approved, investigational",yes,potentiator,P42345,Details,6509979
DB12010,Fostamatinib,"approved, investigational",unknown,inhibitor,P42345,Details,11671467
DB02105,"3,5-Dinitrocatechol",experimental,unknown,,P21964,Details,3870203
DB03907,"N-[(E)-3-[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]prop-2-enyl]-2,3-dihydroxy-5-nitrobenzamide",experimental,unknown,,P21964,Details,4369234
DB00323,Tolcapone,"approved, withdrawn",yes,inhibitor,P21964,Details,4659569
DB00494,Entacapone,"approved, investigational",yes,inhibitor,P21964,Details,5281081
DB00494,Entacapone,"approved, investigational",unknown,inhibitor,P21964,Details,5281081
DB00255,Diethylstilbestrol,"approved, investigational",unknown,substrate,P21964,Details,448537
DB00841,Dobutamine,approved,unknown,substrate,P21964,Details,36811
DB00968,Methyldopa,approved,no,substrate,P21964,Details,38853
DB00988,Dopamine,approved,unknown,substrate,P21964,Details,681
DB01141,Micafungin,"approved, investigational",unknown,substrate,P21964,Details,477468
DB03336,BIA,experimental,unknown,,P21964,Details,4369285
DB07462,"(3,4-DIHYDROXY-2-NITROPHENYL)(PHENYL)METHANONE",experimental,unknown,,P21964,Details,6914595
DB08049,"7,8-dihydroxy-4-phenyl-2H-chromen-2-one",experimental,unknown,,P21964,Details,5413034
DB00118,Ademetionine,"approved, investigational, nutraceutical",unknown,cofactor,P21964,Details,34755
DB04820,Nialamide,"approved, withdrawn",unknown,,P21964,Details,4472
DB02342,2-Methoxyestradiol,investigational,unknown,,P21964,Details,66414
DB06152,Nylidrin,approved,unknown,inducer,P21964,Details,4567
DB01420,Testosterone propionate,"approved, investigational, vet_approved, withdrawn",unknown,inhibitor,P21964,Details,5995
DB11632,Opicapone,"approved, investigational",yes,inhibitor,P21964,Details,135565903
DB00668,Epinephrine,"approved, vet_approved",yes,substrate,P21964,Details,5816
DB15488,Echinacoside,experimental,unknown,substrate,P21964,Details,5281771
DB00252,Phenytoin,"approved, vet_approved",yes,substrate,P21964,Details,1775
DB00783,Estradiol,"approved, investigational, vet_approved",unknown,substrate,P21964,Details,5757
DB00977,Ethinylestradiol,approved,unknown,substrate,P21964,Details,5991
DB00714,Apomorphine,"approved, investigational",unknown,substrate,P21964,Details,6005
DB01064,Isoprenaline,"approved, investigational",unknown,substrate,P21964,Details,3779
DB02546,Vorinostat,"approved, investigational",yes,inhibitor,Q92769,Details,5311
DB05223,Pracinostat,investigational,unknown,,Q92769,Details,49855250
DB11830,Mocetinostat,investigational,unknown,,Q92769,Details,9865515
DB00227,Lovastatin,"approved, investigational",no,other,Q92769,Details,53232
DB01303,Oxtriphylline,approved,yes,activator,Q92769,Details,656652
DB00277,Theophylline,approved,yes,activator,Q92769,Details,2153
DB01223,Aminophylline,approved,yes,activator,Q92769,Details,9433
DB00313,Valproic acid,"approved, investigational",unknown,inhibitor,Q92769,Details,3121
DB06176,Romidepsin,"approved, investigational",yes,antagonistinhibitor,Q92769,Details,5352062
DB09091,Tixocortol,"approved, withdrawn",yes,stimulator,Q92769,Details,162955
DB00641,Simvastatin,approved,unknown,inhibitor,Q92769,Details,54454
DB00175,Pravastatin,approved,unknown,inhibitor,Q92769,Details,54687
DB01095,Fluvastatin,approved,unknown,inhibitor,Q92769,Details,1548972
DB01076,Atorvastatin,approved,unknown,inhibitor,Q92769,Details,60823
DB01919,Pentanal,experimental,unknown,,P17612,Details,8063
DB01940,Balanol Analog 2,experimental,unknown,,P17612,Details,10050566
DB02155,3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,experimental,unknown,,P17612,Details,448327
DB04098,Balanol,experimental,unknown,,P17612,Details,44308490
DB04530,"S,S-(2-Hydroxyethyl)Thiocysteine",experimental,unknown,,P17612,Details,170018
DB02482,Phosphonothreonine,experimental,unknown,,P17612,Details,10976469
DB04522,Dexfosfoserine,experimental,unknown,,P17612,Details,68841
DB06959,(2S)-1-(3H-Indol-3-yl)-3-{[5-(6-isoquinolinyl)-3-pyridinyl]oxy}-2-propanamine,experimental,unknown,,P17612,Details,11840906
DB06977,(2S)-1-{[5-(1H-Indazol-5-yl)-3-pyridinyl]oxy}-3-(7aH-indol-3-yl)-2-propanamine,experimental,unknown,,P17612,Details,49866474
DB07107,(1S)-2-(1H-INDOL-3-YL)-1-[({5-[(E)-2-PYRIDIN-4-YLVINYL]PYRIDIN-3-YL}OXY)METHYL]ETHYLAMINE,experimental,unknown,,P17612,Details,6914613
DB07124,"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",experimental,unknown,,P17612,Details,46937052
DB07204,"(1S)-1-(1H-INDOL-3-YLMETHYL)-2-(2-PYRIDIN-4-YL-[1,7]NAPHTYRIDIN-5-YLOXY)-EHYLAMINE",experimental,unknown,,P17612,Details,6914614
DB07235,"N-[(1S)-2-AMINO-1-(2,4-DICHLOROBENZYL)ETHYL]-5-[2-(METHYLAMINO)PYRIMIDIN-4-YL]THIOPHENE-2-CARBOXAMIDE",experimental,unknown,,P17612,Details,16043304
DB02611,Balanol Analog 1,experimental,unknown,,P17612,Details,448326
DB07458,"3-(1H-indol-3-yl)-4-{1-[2-(1-methylpyrrolidin-2-yl)ethyl]-1H-indol-3-yl}-1H-pyrrole-2,5-dione",experimental,unknown,,P17612,Details,448642
DB07583,"(4R,2S)-5'-(4-(4-CHLOROBENZYLOXY)PYRROLIDIN-2-YLMETHANESULFONYL)ISOQUINOLINE",experimental,unknown,,P17612,Details,5327110
DB07854,N-METHYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,experimental,unknown,,P17612,Details,11608401
DB07855,(S)-1-PHENYL-1-[4-(9H-PURIN-6-YL)PHENYL]METHANAMINE,experimental,unknown,,P17612,Details,16122632
DB07856,6-{4-[4-(4-CHLOROPHENYL)PIPERIDIN-4-YL]PHENYL}-9H-PURINE,experimental,unknown,,P17612,Details,16122633
DB07857,(2R)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,experimental,unknown,,P17612,Details,15602983
DB07858,(2S)-2-(4-chlorophenyl)-2-[4-(1H-pyrazol-4-yl)phenyl]ethanamine,experimental,unknown,,P17612,Details,15602982
DB07859,4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,experimental,unknown,,P17612,Details,11175137
DB07860,(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE,experimental,unknown,,P17612,Details,16122635
DB07876,(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE,experimental,unknown,,P17612,Details,448043
DB04707,Hydroxyfasudil,experimental,unknown,,P17612,Details,3064778
DB07947,ISOQUINOLINE-5-SULFONIC ACID (2-(2-(4-CHLOROBENZYLOXY)ETHYLAMINO)ETHYL)AMIDE,experimental,unknown,,P17612,Details,5327109
DB07995,H-89,experimental,unknown,,P17612,Details,449241
